Designator,Mid X,Mid Y,Rotation,Layer
C1,91.8375,-88.334343,0.0,top
C2,92.5875,-76.6,0.0,top
PCA9505,89.0875,-82.5625,90.0,top
R1,99.16875,-86.697238,90.0,top
R2,101.55,-86.697238,90.0,top
R3,103.93125,-86.697238,90.0,top
S0,30.43125,-48.5,0.0,top
S1,49.43125,-40.5,0.0,top
S10,106.43125,-55.5,0.0,top
S11,125.43125,-61.5,0.0,top
S12,30.43125,-86.5,0.0,top
S13,49.43125,-78.5,0.0,top
S14,68.43125,-70.5,0.0,top
S15,87.43125,-66.5,0.0,top
S16,106.43125,-74.5,0.0,top
S17,125.43125,-80.5,0.0,top
S18,96.93125,-99.5,0.0,top
S19,117.96926785808655,-102.2697081848584,345.0,top
S2,68.43125,-32.5,0.0,top
S20,137.573582,-110.39008052641917,330.0,top
S3,87.43125,-28.5,0.0,top
S4,106.43125,-36.5,0.0,top
S5,125.43125,-42.5,0.0,top
S6,30.43125,-67.55,0.0,top
S7,49.43125,-59.5,0.0,top
S8,68.43125,-51.5,0.0,top
S9,87.43125,-47.5,0.0,top
U1,71.932033,-93.356615,110.0,top
